"","LUV","JBLU","ALK","ALGT","GOL","GLUX","CPA","HA","SKYW","AAPL","KODK","WATT","KOSS","MSN","VUZI","UEIC","FN","PHG","ABBV","LLY","NVS","AZN","ADTN","HIVE","AUDC","ALLT","AVNW","ATEN","DAL","AAL","SAVE","CEA","ZNH","VLRS","UAL","volume.data.a6.df$ARCO"
"1",3350600,2962500,1121500,109200,510400,0,260100,457300,347100,109012000,174700,229000,1900,900,2020400,92900,522300,671800,18010900,3236400,932300,3032900,270300,187520,120600,224500,800,544900,6837100,4765100,982900,22300,79400,103500,2237200,309000
"2",2909300,3759300,1096800,145800,841700,0,280600,424500,300900,67740800,150200,227400,1100,2700,694100,65800,260800,423000,12862200,2343400,1109800,2521200,192900,41140,62200,101500,3800,257600,3303900,2747700,558700,12900,37500,196500,1647100,257000
"3",2717000,2052500,759900,71900,1094800,0,354200,408000,75400,45448000,74700,102300,0,1300,577900,32600,80200,320800,7434100,3707700,1063400,1819000,152800,44440,66400,114600,8400,327100,5896900,2583900,602500,24200,38900,401300,3227300,422700
"4",2113200,1733700,566800,91100,4886400,0,1165800,382500,150500,69062000,97600,256700,1700,100,470400,56600,123300,721300,10854900,2444000,1371600,2811700,146400,57660,69300,101400,4600,477800,7800600,5328800,800800,10100,28100,212100,2514600,491900
"5",3164700,2520900,1228500,107600,2343400,0,656000,482400,184300,101354400,101100,271300,300,600,617100,66700,174100,343100,13487400,2998700,1092400,2090200,237800,55860,258600,31100,6000,295700,7870200,5450600,628900,13100,35100,205800,3912800,363400
"6",3121800,4355300,910700,103400,1356100,272,360200,882200,140200,82312000,112800,158600,200,2900,518700,58400,263000,347500,11832500,2717700,1178600,1667900,175400,88180,142500,56700,4200,271900,7781300,8869700,494000,27600,24600,326200,2395300,1125900
"7",3224000,2698300,1197000,93700,1694200,0,355700,452900,221500,71588400,233300,186300,3300,5900,540200,78000,234800,412000,9170400,3339100,1489100,1623000,185300,50740,80700,63500,12600,223200,12695600,6842900,962400,24800,25800,226200,2262300,425600
"8",2094500,4394100,982500,66100,1530000,0,265500,704100,303300,80767200,227600,181700,600,900,463500,82800,219400,488900,13001000,6589600,2822000,2342500,279100,41700,118300,35900,50400,245000,10045700,5012200,1675100,13200,21100,487300,2894800,1082100
"9",2643100,3168400,958700,130100,905500,0,191200,589000,296900,70380800,233000,781000,1200,37100,644000,73000,177000,624200,12903000,7211100,3653700,3229700,251800,50480,127700,23000,22200,755900,5889000,3483600,901700,19500,27300,160300,2388300,544100
"10",3191400,3713000,946300,136800,928900,0,421200,597700,201000,67789600,51300,304300,800,3600,1020600,82900,149800,409900,10253300,4405200,3054500,2002700,195200,153600,137300,20600,10600,543800,10319700,6353600,871100,10800,19900,362000,4706100,440500
"11",3601100,5237600,1385000,164000,822100,0,223900,708500,131700,67467200,112200,225600,4800,2000,371900,78900,216800,1540500,10141600,2206500,1728300,1619700,294500,78800,174400,26900,13400,987700,7532000,5881900,671900,7600,78600,189000,6019500,443500
"12",3712800,4105300,1179000,120900,2483900,0,402400,612800,104400,56430000,43700,311200,1200,600,394400,70500,269200,681200,12205000,3507300,3827600,1324400,3143100,46420,243500,30200,1200,744600,4482200,3049300,555600,1500,17900,248600,3299800,470300
"13",2969400,2827600,1018800,181400,3170300,0,279800,507800,127100,74162400,104100,3e+05,5200,900,283500,68400,152700,659600,8573300,3232900,5426800,2728400,1183800,47820,102000,11600,22800,1121900,7902700,4249000,730900,13900,17600,137700,3360700,234800
"14",4285500,2752300,1143300,180800,2341300,0,363200,433800,195100,83717200,87500,352700,3900,800,1299800,86700,280300,754200,9806900,4820600,3484400,3709600,691600,95800,133200,16900,7600,287400,4786300,4005600,902500,4500,14600,164600,2305100,232200
"15",3567200,5990300,1303700,217500,1074900,0,365700,324300,112000,89111600,128200,214800,500,4800,1504100,47100,218700,1616400,9961800,2894400,2617900,4338500,411500,95460,1442900,102200,4600,565900,7452200,4524100,993000,10000,13300,200500,2105100,253500
"16",3399900,8120400,1458400,162900,701000,0,240700,615200,184500,73420800,52000,245500,1200,3600,729600,64800,272000,1452300,8025300,5098200,2882100,4153100,417700,59720,430300,40300,7600,201200,5718800,7315300,1346200,51500,44800,844700,2344400,131900
"17",4756600,4089500,1007400,337800,1195800,0,233200,707000,124400,59966400,42800,278300,2300,600,479800,57400,282600,846600,12595300,3762700,1733200,4281600,329500,24860,454300,10700,5600,240700,5351700,13152300,10738100,4800,21200,817500,3196100,111500
"18",8684100,6553700,1599000,515400,633800,0,275600,646600,239000,55638400,42300,209800,1700,3000,336000,42900,136000,753200,12403500,4596700,1570100,10419700,344200,38340,294500,8000,35600,412500,3857900,7875200,3779700,13000,18500,959700,1684800,383900
"19",5835400,3398300,1637800,264800,1138300,0,227500,346300,150900,70475600,46800,189900,3100,300,697000,90600,197200,733400,12259300,3470700,1675500,4226800,306900,140360,366500,24500,5600,658800,4972200,6963900,2822900,3900,14100,448800,1957100,574100
"20",3785900,5494800,1397800,192600,738000,0,185400,662100,126900,86693600,415400,1426000,3900,2600,2071700,83400,152900,843800,10117300,3192500,1530500,6419700,357600,24820,176400,84500,3800,700400,2910000,5290200,1351900,9500,16500,311900,1717200,411600
"21",2794400,4077700,812300,123000,930400,0,230800,762600,167300,135742800,90600,645200,100,2400,1715600,57600,329400,757000,8143700,4664200,1572300,3475500,370600,57680,308500,51000,14400,2193700,7229600,6269400,1707800,13900,21700,286600,2125300,400900
"22",4985500,4562600,1171000,272000,986800,2127,293400,1809300,292100,277125600,120100,581400,11700,5800,934300,108000,460800,550900,11300000,5535700,1298000,2255600,338500,29900,229300,107100,13000,716800,5838000,8013000,1194700,24700,41500,521900,2518700,617400
"23",4588000,5372900,1069500,172200,1832700,1137,221400,930400,242400,216071600,73800,445600,5500,12200,725200,83300,346600,905700,13106700,3679000,1110200,2686200,211600,39320,154800,111400,14800,774100,3739500,6475900,890100,20800,27100,201800,2281800,272500
"24",3142500,3207400,1021100,159700,824500,0,145300,868200,116900,163448400,65000,367800,200,400,480900,155400,319500,872600,9653900,4477700,1308300,4267500,287600,103180,223800,112700,8200,1020800,8855700,8948900,1381300,47600,39400,403000,3721800,469200
"25",5156500,5523700,1208400,180500,893400,2000,315800,1304700,191500,209572000,93600,564600,9200,800,675500,121000,514000,694400,11618800,4765800,1172200,3823200,268000,64780,110700,212700,23400,963700,4704500,6010100,747600,16600,38900,271700,2369900,627700
"26",3234900,3143900,797300,258500,913000,157,371000,674500,190300,143299200,101900,504000,20700,300,391700,67000,391600,404000,10248700,5490000,6754100,3936500,185600,91820,97000,65000,16000,365900,7648800,6771500,717700,14400,22400,216700,2380100,342700
"27",3592400,3191700,749700,131200,1087800,117,461700,585000,174600,133457600,49200,297400,200,800,532500,72500,188400,846900,10532100,4231700,6018900,4018600,333300,69300,179700,136500,3400,425800,5414000,5028200,968300,27700,27300,325600,1419900,319600
"28",3673100,3257400,769000,263900,747900,0,1298900,546600,157100,108038000,173300,468500,1600,2000,483400,92100,250800,573600,7427400,4815900,1972400,2368900,139600,27740,75400,14800,16200,341600,5606400,4031300,1006900,18100,23700,141600,2078700,601200
"29",2594300,2404100,746600,115300,1227100,0,473200,443800,320300,98478800,457400,297100,3100,500,640600,389800,358900,380900,10893500,2788100,1425800,4127300,241500,58460,181100,43100,10200,813200,4788300,8015000,813800,20100,25200,168800,2185000,1046800
"30",2112100,2995600,1041500,272100,1057300,0,520300,534200,226900,89927600,120700,250900,400,500,287900,113000,229700,331000,5258900,2318400,1471800,2492800,178700,114280,139700,96000,17600,264300,6156200,12950000,722400,26800,53900,259700,2662800,571800
"31",3240500,2914700,1160200,112700,2538300,0,464700,393700,156500,188874000,229700,231700,1700,2900,388400,108100,217300,374100,7082500,5247200,1968100,3457500,234700,105200,235300,131400,1800,442300,7662800,10104400,986000,12500,25300,294600,3250500,519100
"32",3653800,5047200,1416600,153600,1236400,0,244700,553600,145800,146189600,172400,207500,7100,9400,448100,97700,226800,471900,9373300,4937900,1457400,2793400,278000,25800,137600,54800,21200,453300,4360400,10057900,634800,9000,11400,251300,3225800,184400
"33",2935600,3601900,1223100,150600,1479800,0,239700,578600,176300,108909600,247700,337900,400,100,656000,45600,223600,643000,9195700,3939900,1479000,1919600,164400,0,89600,37700,18200,325500,4226100,8826800,534700,19900,20000,96400,2260500,189200
"34",2997200,2576200,952800,71400,1168800,0,339100,395500,121100,110481600,66000,189500,5600,1600,273400,55300,312600,632000,8348100,3497600,1257600,1495500,188600,57920,87200,77900,3600,204300,3503500,9034800,509000,11500,14600,156400,2268800,229200
"35",3540100,2273100,903200,148100,2256100,0,237500,372700,163100,97654400,92200,144800,100,600,288800,60700,541900,279200,9826300,2903500,1123100,1521000,206300,41060,96700,18900,5200,292300,2513700,7658800,404300,11900,21700,513700,1495000,236000
"36",2296900,3588300,740400,412000,3074400,0,211800,374800,195400,107537200,85100,415000,700,0,438900,39400,3167500,350600,12037900,2074800,1754000,5067900,219900,89800,144000,108700,10800,268700,3014900,6227500,516700,2800,8200,160500,1672600,527300
"37",2096500,2687000,1038900,106900,2609200,0,257300,1639600,116800,86141600,170600,298700,3800,1300,231700,86000,895700,479100,7615700,2207300,2137600,6007200,145500,87520,77000,209800,0,446600,3436400,5957900,736100,10100,12200,201000,1310100,168600
"38",3470200,2591400,929300,348500,2254200,500,247300,474700,114000,89014800,151800,224000,2800,3900,130700,105900,547300,547000,6495700,1840200,1532700,4555100,359000,54080,108400,78600,18000,323900,5921400,8900100,666300,10900,29800,213800,3674600,187700
"39",4692100,4093700,1180800,175900,2533200,9603,320000,673000,171900,187272000,62300,317000,17200,1500,225800,90700,649800,977100,8904700,3870100,2114700,3752200,502500,40940,54200,52000,2600,212400,3414500,6722600,622500,6400,9700,103300,1851400,147500
